H2,CO,CO2,Methane,Acetylene,Ethylene,Ethane,Furan,Water,Acid,BDV,DDF1,DDF2,Color,IFT,HI
10.1,155.4,2340.1,46.2,0,2.3,50.3,0.01,1,0.005,80,0.028,0.001,0,32,100
12.7,256.3,2824.2,29.1,0.4,2.2,34,0.01,3,0.005,71,0.003,0,0,32,100
14.9,141,2442.2,64.4,0,2.7,84.7,0,1,0.005,87,0.002,0,1,32,100
16.8,154.7,2942.4,47.9,0,2.4,61.4,0,2,0.005,84,0.002,0,1,32,100
17.5,279,955.6,9.6,0,0.7,0.8,0.02,1,0.005,72,0.003,0,0,32,100
22.3,164.5,795.7,5.7,0,0.9,1.5,0.02,2,0.005,81,0.006,0,0,31,100
31,667.6,1961.4,4.5,0,0.9,1.3,0,3,0.005,71,0.002,0,0,32,100
24.7,497.6,1643,5.7,0,1,1.3,0,6,0.005,61,0.001,0,0,31,100
19.9,412.6,2593.3,25.7,0,3.6,5.1,0.01,1,0.005,82,0.023,0.001,0,34,100
24,337.6,2582,24.3,0,1.5,6,0.03,1,0.005,87,0.009,0.001,0,32,100
23.5,471.8,3079.2,28.5,0,5.3,6.7,0,10,0.005,76,0.006,0.001,0,33,100
27.1,465.2,3529.1,23.8,0,2.1,6.3,0.01,12,0.005,63,0.013,0.001,0,34,100
19,384.1,2701.3,14.6,0,3.4,1.2,0.01,4,0.005,87,0.001,0.001,0,34,100
21.4,363.5,2985.4,12.1,0,3.9,2.2,0,3,0.005,77,0.001,0.001,0,35,100
15.4,403.8,290,12.6,0.3,1,5.4,0,11,0.005,52,0.004,0,0,38,100
21.1,559.6,786.5,10.6,0.4,2.6,12,0,7,0.005,77,0.004,0,0,37,100
10.1,417.2,1161.3,8.5,0,0.6,0.9,0.01,1,0.005,77,0.001,0.001,0,29,100
5.8,421.5,890.2,8.9,0,0.5,0.9,0.17,2,0.005,77,0.001,0,0,30,94.04761905
13.4,666.7,1713.8,11.1,0,1.4,2.1,0,5,0.005,78,0.003,0,0,32,100
14.4,616.6,1372.6,2.5,0,0.9,1.5,0,4,0.005,79,0.002,0,0,31,100
24.5,594.3,2212.9,13.2,0,0.9,15.3,0,6,0.005,81,0.001,0,0,37,100
22.1,548.8,2431.3,8.8,0,1.2,4.3,0,4,0.005,54,0.001,0,0,39,100
16.3,392.3,2265.7,8.5,0,0.3,2.9,0,5,0.005,50,0,0,0,40,100
14.9,395.5,2259.1,8.6,0,0.3,2.7,0,6,0.005,51,0,0,0,40,100
20.6,252.8,2925.3,2.9,0,2.4,1.2,0.16,2,0.066,79,0.02,0.001,2,17,86.9047619
10.1,464.6,1207.6,17.8,0,0.8,1.4,0.01,1,0.005,82,0.001,0,0,29,100
9.6,551.7,1320.9,13.6,0,0.6,1.5,0,5,0.005,95,0.001,0.001,0,28,100
10.6,643.2,1886.5,5,0,1.1,2.3,0,3,0.005,60,0.002,0,0,32,100
92.4,420.6,1367,9.9,2.6,19.4,64.5,0,9,0.005,54,0.002,0,0,32,100
13,508.5,1621,13.7,0,1.7,1.7,0.01,3,0.005,82,0.003,0,0,28,100
13.9,611.3,1582.7,3.4,0,1.2,1.9,0.01,2,0.005,94,0.003,0.001,0,28,100
27.8,680.3,1802.5,15.2,0,4.2,19.4,0,10,0.005,68,0.006,0.001,0,30,100
